frame.time_delta,frame.time_relative,frame.len,ip.src,ip.dst,ip.proto,ip.ttl,tcp.srcport,tcp.dstport,tcp.flags,tcp.time_delta,tcp.len,tcp.ack,tcp.ack_raw,tcp.seq_raw,tcp.flags.fin,tcp.flags.ack,tcp.flags.push,tcp.flags.reset,tcp.flags.syn,tcp.flags.urg,tcp.hdr_len,tcp.window_size_value,tcp.checksum,mqtt.clientid,mqtt.clientid_len,mqtt.conack.flags,mqtt.conack.val,mqtt.conflag.passwd,mqtt.conflag.qos,mqtt.conflag.reserved,mqtt.conflag.retain,mqtt.conflag.willflag,mqtt.conflags,mqtt.dupflag,mqtt.hdrflags,mqtt.kalive,mqtt.len,mqtt.msg,mqtt.msgtype,mqtt.qos,mqtt.retain,mqtt.topic,mqtt.topic_len,mqtt.ver,class,label
0.000063000,146.212787000,70,192.168.60.20,192.168.110.102,6,64,1883,45979,0x0018,0.000063000,4,149792,2166414380,413035188,0,1,1,0,0,0,32,3736,0x2bf6,0,0,0,0,0,0,0,0,0,0,0,0x50,0,2,0,0,0,0,0,0,0,Benign,0
0.000119000,146.212911000,70,192.168.60.20,192.168.110.102,6,64,1883,45979,0x0018,0.000119000,4,149792,2166414380,413035192,0,1,1,0,0,0,32,3736,0x2bf6,0,0,0,0,0,0,0,0,0,0,0,0x50,0,2,0,0,0,0,0,0,0,Benign,0
0.000083000,146.213001000,70,192.168.60.20,192.168.110.102,6,64,1883,45979,0x0018,0.000083000,4,149792,2166414380,413035196,0,1,1,0,0,0,32,3736,0x2bf6,0,0,0,0,0,0,0,0,0,0,0,0x50,0,2,0,0,0,0,0,0,0,Benign,0
0.000063000,146.213068000,70,192.168.60.20,192.168.110.102,6,64,1883,45979,0x0018,0.000063000,4,149792,2166414380,413035200,0,1,1,0,0,0,32,3736,0x2bf6,0,0,0,0,0,0,0,0,0,0,0,0x50,0,2,0,0,0,0,0,0,0,Benign,0
0.000063000,146.213135000,70,192.168.60.20,192.168.110.102,6,64,1883,45979,0x0018,0.000063000,4,149792,2166414380,413035204,0,1,1,0,0,0,32,3736,0x2bf6,0,0,0,0,0,0,0,0,0,0,0,0x50,0,2,0,0,0,0,0,0,0,Benign,0
-0.000015000,146.213127000,98,192.168.110.102,192.168.60.20,6,64,45979,1883,0x0018,-0.000015000,32,58793,413035208,2166414380,0,1,1,0,0,0,32,501,0x2c12,0,0,0,0,0,0,0,0,0,0,0,0x62,0,2,0,0,0,0,0,0,0,Benign,0
0.000080000,146.213207000,70,192.168.60.20,192.168.110.102,6,64,1883,45979,0x0018,0.000080000,4,149792,2166414380,413035208,0,1,1,0,0,0,32,3736,0x2bf6,0,0,0,0,0,0,0,0,0,0,0,0x50,0,2,0,0,0,0,0,0,0,Benign,0
0.000004000,146.256416000,70,192.168.110.102,192.168.60.20,6,64,45979,1883,0x0018,0.000004000,4,58797,413035212,2166414412,0,1,1,0,0,0,32,501,0x2bf6,0,0,0,0,0,0,0,0,0,0,0,0x62,0,2,0,0,0,0,0,0,0,Benign,0
0.000003000,146.256419000,266,192.168.60.20,192.168.110.102,6,64,1883,45979,0x0018,0.000003000,200,149824,2166414412,413035212,0,1,1,0,0,0,32,3736,0x2cba,0,0,0,0,0,0,0,0,0,0,0,0x70,0,2,0,0,0,0,0,0,0,Benign,0
0.000228000,146.256719000,70,192.168.60.20,192.168.110.102,6,64,1883,45979,0x0018,0.000228000,4,149828,2166414416,413035412,0,1,1,0,0,0,32,3736,0x2bf6,0,0,0,0,0,0,0,0,0,0,0,0x70,0,2,0,0,0,0,0,0,0,Benign,0
-0.000021000,146.256704000,234,192.168.110.102,192.168.60.20,6,64,45979,1883,0x0018,-0.000021000,168,59001,413035416,2166414416,0,1,1,0,0,0,32,501,0x2c9a,0,0,0,0,0,0,0,0,0,0,0,0x62,0,2,0,0,0,0,0,0,0,Benign,0
0.000036000,146.256740000,70,192.168.60.20,192.168.110.102,6,64,1883,45979,0x0018,0.000036000,4,149996,2166414584,413035416,0,1,1,0,0,0,32,3759,0x2bf6,0,0,0,0,0,0,0,0,0,0,0,0x70,0,2,0,0,0,0,0,0,0,Benign,0
0.000034000,146.299776000,230,192.168.60.20,192.168.110.102,6,64,1883,45979,0x0018,0.000034000,164,149996,2166414584,413035420,0,1,1,0,0,0,32,3759,0x2c96,0,0,0,0,0,0,0,0,0,0,0,0x70,0,2,0,0,0,0,0,0,0,Benign,0
